STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00094728,"NY CITY CENTRAL PARK, NY US",1/1/16,7.61,,0,0,0,,42,34,,290,300,17,25.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/2/16,6.71,,0,0,0,,40,32,,290,270,15,23,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/3/16,7.83,,0,0,0,,45,35,,270,240,17,25.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/4/16,8.5,,0,0,0,,36,14,,40,40,21,31.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/5/16,5.14,,0,0,0,,29,11,,10,20,19.9,30,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/6/16,3.58,,0,0,0,,41,25,,250,250,13,18.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/7/16,2.46,,0,0,0,,46,31,,260,,6.9,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/8/16,4.25,,0,0,0,,46,31,,80,80,14.1,21,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/9/16,8.05,,0,0,0,,47,40,,70,80,15,19.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/10/16,9.84,,1.8,0,0,,59,40,,280,290,21.9,35.1,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/11/16,10.51,,0,0,0,,40,26,,280,280,19.9,35.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/12/16,6.04,,0,0,0,,44,25,,290,280,21.9,35.1,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/13/16,9.84,,0,0,0,,30,22,,280,260,21,35.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/14/16,4.92,,0,0,0,,38,22,,260,280,15,23,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/15/16,5.14,,0,0,0,,51,34,,170,170,12.1,18.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/16/16,6.71,,0.24,0,0,,52,42,,310,270,15,21.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/17/16,5.59,,0.05,0.4,0,,42,30,,60,10,13,19,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/18/16,11.86,,0,0,0,,31,18,,290,280,21.9,35.1,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/19/16,10.96,,0,0,0,,28,16,,280,280,19.9,34,,,,,,,,
